epoch,inclination,raan_sin,raan_cos,eccentricity,arg_perigee_sin,arg_perigee_cos,mean_motion,bstar
2024-01-01 00:18:14.850428+00:00,51.6422,0.9312429213380026,0.36439898663122383,0.0003347,-0.2846562148994899,0.9586296674519809,15.49961425,0.00029758000000000003
2024-01-01 04:40:56.161357+00:00,51.64,0.9253910761898569,0.37901366216559834,0.0003472,-0.3554104173105812,0.9347103483256823,15.499661309999999,0.00029045
2024-01-01 09:19:28.047657+00:00,51.6401,0.9189234384948987,0.39443594433660867,0.0003475,-0.3392633543401951,0.9406914352761161,15.499721220000001,0.00028679
2024-01-01 14:37:26.408347+00:00,51.6411,0.9111934356956718,0.41197878919322745,0.0003561,-0.2892957783116215,0.9572397571408499,15.49993638,0.00081463
2024-01-01 15:57:41.570200+00:00,51.6444,0.9092891396012776,0.4161649439863579,0.0003179,-0.28492223071500944,0.9585506363486401,15.50002034,0.0009165
2024-01-01 19:04:12.155247+00:00,51.6442,0.9045749747118128,0.4263145729682757,0.0003097,-0.3426170608437344,0.9394751458228157,15.50000501,0.00056216
2024-01-02 04:06:53.469198+00:00,51.6434,0.8901690713378114,0.45563035942919605,0.0003794,-0.19292442983706157,0.981213618113836,15.499960799999998,0.0002498
2024-01-02 08:54:37.619129+00:00,51.6435,0.8822131686399838,0.47085021511962766,0.0003279,-0.258554355588919,0.9659967107635506,15.49993229,7.0848e-05
2024-01-02 10:04:56.890550+00:00,51.6403,0.8801287636044779,0.4747350413399596,0.0003378,-0.2836839834377781,0.9589178262712996,15.50006585,0.00029671
2024-01-02 13:10:37.891477+00:00,51.6401,0.874783810568418,0.48451345158560677,0.0003432,-0.27641404924270524,0.9610386430218357,15.50006688,0.00023544
2024-01-02 13:48:36.792574+00:00,51.6439,0.8736873281910109,0.48648787503744917,0.000321,-0.24507726678988065,0.9695035499175862,15.500158790000002,0.00030777
2024-01-02 14:43:28.402763+00:00,51.6402,0.8720718348206918,0.489377885598105,0.0003585,-0.2326646200975016,0.9725570289473442,15.500115949999998,0.00027540999999999997
